Orientations,Spatial Frequencies,Temporal Frequencies,Contrasts
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.4
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.4
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.4
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.4
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.4
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.4
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.4
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.4
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.4
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.4
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.4
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.4
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.4
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.4
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.4
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.4
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.4
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.4
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.4
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.7
0,0.08,0,0.4
