Orientations,Spatial Frequencies,Temporal,Contrasts
0,0.08,4,1
30,0.08,4,1
60,0.08,4,1
90,0.08,4,1
120,0.08,4,1
150,0.08,4,1
180,0.08,4,1
210,0.08,4,1
240,0.08,4,1
270,0.08,4,1
300,0.08,4,1
330,0.08,4,1
0,0.08,4,1
30,0.08,4,1
60,0.08,4,1
90,0.08,4,1
120,0.08,4,1
150,0.08,4,1
180,0.08,4,1
210,0.08,4,1
240,0.08,4,1
270,0.08,4,1
300,0.08,4,1
330,0.08,4,1
0,0.08,4,1
30,0.08,4,1
60,0.08,4,1
90,0.08,4,1
120,0.08,4,1
150,0.08,4,1
180,0.08,4,1
210,0.08,4,1
240,0.08,4,1
270,0.08,4,1
300,0.08,4,1
330,0.08,4,1
0,0.08,4,1
30,0.08,4,1
60,0.08,4,1
90,0.08,4,1
120,0.08,4,1
150,0.08,4,1
180,0.08,4,1
210,0.08,4,1
240,0.08,4,1
270,0.08,4,1
300,0.08,4,1
330,0.08,4,1
0,0.08,4,1
30,0.08,4,1
60,0.08,4,1
90,0.08,4,1
120,0.08,4,1
150,0.08,4,1
180,0.08,4,1
210,0.08,4,1
240,0.08,4,1
270,0.08,4,1
300,0.08,4,1
330,0.08,4,1
0,0.08,4,1
30,0.08,4,1
60,0.08,4,1
90,0.08,4,1
120,0.08,4,1
150,0.08,4,1
180,0.08,4,1
210,0.08,4,1
240,0.08,4,1
270,0.08,4,1
300,0.08,4,1
330,0.08,4,1
0,0.08,4,1
30,0.08,4,1
60,0.08,4,1
90,0.08,4,1
120,0.08,4,1
150,0.08,4,1
180,0.08,4,1
210,0.08,4,1
240,0.08,4,1
270,0.08,4,1
300,0.08,4,1
330,0.08,4,1
0,0.08,4,1
30,0.08,4,1
60,0.08,4,1
90,0.08,4,1
120,0.08,4,1
150,0.08,4,1
180,0.08,4,1
210,0.08,4,1
240,0.08,4,1
270,0.08,4,1
300,0.08,4,1
330,0.08,4,1
0,0.08,4,1
30,0.08,4,1
60,0.08,4,1
90,0.08,4,1
120,0.08,4,1
150,0.08,4,1
180,0.08,4,1
210,0.08,4,1
240,0.08,4,1
270,0.08,4,1
300,0.08,4,1
330,0.08,4,1
0,0.08,4,1
30,0.08,4,1
60,0.08,4,1
90,0.08,4,1
120,0.08,4,1
150,0.08,4,1
180,0.08,4,1
210,0.08,4,1
240,0.08,4,1
270,0.08,4,1
300,0.08,4,1
330,0.08,4,1
0,0.08,4,1
30,0.08,4,1
60,0.08,4,1
90,0.08,4,1
120,0.08,4,1
150,0.08,4,1
180,0.08,4,1
210,0.08,4,1
240,0.08,4,1
270,0.08,4,1
300,0.08,4,1
330,0.08,4,1
0,0.08,4,1
30,0.08,4,1
60,0.08,4,1
90,0.08,4,1
120,0.08,4,1
150,0.08,4,1
180,0.08,4,1
210,0.08,4,1
240,0.08,4,1
270,0.08,4,1
300,0.08,4,1
330,0.08,4,1
0,0.08,4,1
30,0.08,4,1
60,0.08,4,1
90,0.08,4,1
120,0.08,4,1
150,0.08,4,1
180,0.08,4,1
210,0.08,4,1
240,0.08,4,1
270,0.08,4,1
300,0.08,4,1
330,0.08,4,1
0,0.08,4,1
30,0.08,4,1
60,0.08,4,1
90,0.08,4,1
120,0.08,4,1
150,0.08,4,1
180,0.08,4,1
210,0.08,4,1
240,0.08,4,1
270,0.08,4,1
300,0.08,4,1
330,0.08,4,1
0,0.08,4,1
30,0.08,4,1
60,0.08,4,1
90,0.08,4,1
120,0.08,4,1
150,0.08,4,1
180,0.08,4,1
210,0.08,4,1
240,0.08,4,1
270,0.08,4,1
300,0.08,4,1
330,0.08,4,1
0,0.08,4,1
30,0.08,4,1
60,0.08,4,1
90,0.08,4,1
120,0.08,4,1
150,0.08,4,1
180,0.08,4,1
210,0.08,4,1
240,0.08,4,1
270,0.08,4,1
300,0.08,4,1
330,0.08,4,1
0,0.08,4,1
30,0.08,4,1
60,0.08,4,1
90,0.08,4,1
120,0.08,4,1
150,0.08,4,1
180,0.08,4,1
210,0.08,4,1
240,0.08,4,1
270,0.08,4,1
300,0.08,4,1
330,0.08,4,1
0,0.08,4,1
30,0.08,4,1
60,0.08,4,1
90,0.08,4,1
120,0.08,4,1
150,0.08,4,1
180,0.08,4,1
210,0.08,4,1
240,0.08,4,1
270,0.08,4,1
300,0.08,4,1
330,0.08,4,1
0,0.08,4,1
30,0.08,4,1
60,0.08,4,1
90,0.08,4,1
120,0.08,4,1
150,0.08,4,1
180,0.08,4,1
210,0.08,4,1
240,0.08,4,1
270,0.08,4,1
300,0.08,4,1
330,0.08,4,1
0,0.08,4,1
30,0.08,4,1
60,0.08,4,1
90,0.08,4,1
120,0.08,4,1
150,0.08,4,1
180,0.08,4,1
210,0.08,4,1
240,0.08,4,1
270,0.08,4,1
300,0.08,4,1
330,0.08,4,1
