Orientations,Spatial Frequencies,Temporal Frequencies,Contrasts
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
0,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
0,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
0,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
0,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
0,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
0,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
0,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
0,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
0,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
0,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
0,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
0,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
0,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
0,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
0,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
0,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
0,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
0,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
0,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
90,0.08,4,1
0,0.08,4,1
