Orientations,Spatial Frequencies,Temporal,Contrasts
0,0.08,0,1
30,0.08,0,1
60,0.08,0,1
90,0.08,0,1
120,0.08,0,1
150,0.08,0,1
0,0.08,0,1
30,0.08,0,1
60,0.08,0,1
90,0.08,0,1
120,0.08,0,1
150,0.08,0,1
0,0.08,0,1
30,0.08,0,1
60,0.08,0,1
90,0.08,0,1
120,0.08,0,1
150,0.08,0,1
0,0.08,0,1
30,0.08,0,1
60,0.08,0,1
90,0.08,0,1
120,0.08,0,1
150,0.08,0,1
0,0.08,0,1
30,0.08,0,1
60,0.08,0,1
90,0.08,0,1
120,0.08,0,1
150,0.08,0,1
0,0.08,0,1
30,0.08,0,1
60,0.08,0,1
90,0.08,0,1
120,0.08,0,1
150,0.08,0,1
0,0.08,0,1
30,0.08,0,1
60,0.08,0,1
90,0.08,0,1
120,0.08,0,1
150,0.08,0,1
0,0.08,0,1
30,0.08,0,1
60,0.08,0,1
90,0.08,0,1
120,0.08,0,1
150,0.08,0,1
0,0.08,0,1
30,0.08,0,1
60,0.08,0,1
90,0.08,0,1
120,0.08,0,1
150,0.08,0,1
0,0.08,0,1
30,0.08,0,1
60,0.08,0,1
90,0.08,0,1
120,0.08,0,1
150,0.08,0,1
0,0.08,0,1
30,0.08,0,1
60,0.08,0,1
90,0.08,0,1
120,0.08,0,1
150,0.08,0,1
0,0.08,0,1
30,0.08,0,1
60,0.08,0,1
90,0.08,0,1
120,0.08,0,1
150,0.08,0,1
0,0.08,0,1
30,0.08,0,1
60,0.08,0,1
90,0.08,0,1
120,0.08,0,1
150,0.08,0,1
0,0.08,0,1
30,0.08,0,1
60,0.08,0,1
90,0.08,0,1
120,0.08,0,1
150,0.08,0,1
0,0.08,0,1
30,0.08,0,1
60,0.08,0,1
90,0.08,0,1
120,0.08,0,1
150,0.08,0,1
0,0.08,0,1
30,0.08,0,1
60,0.08,0,1
90,0.08,0,1
120,0.08,0,1
150,0.08,0,1
0,0.08,0,1
30,0.08,0,1
60,0.08,0,1
90,0.08,0,1
120,0.08,0,1
150,0.08,0,1
0,0.08,0,1
30,0.08,0,1
60,0.08,0,1
90,0.08,0,1
120,0.08,0,1
150,0.08,0,1
0,0.08,0,1
30,0.08,0,1
60,0.08,0,1
90,0.08,0,1
120,0.08,0,1
150,0.08,0,1
0,0.08,0,1
30,0.08,0,1
60,0.08,0,1
90,0.08,0,1
120,0.08,0,1
150,0.08,0,1
