Orientations,Spatial Frequencies,Temporal Frequencies,Contrasts
0,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
0,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
0,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
0,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
0,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
0,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
0,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
0,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
0,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
0,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
0,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
0,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
90,0.08,2,1
