Orientations,Spatial Frequencies,Contrasts,Temporal Freq Start,Temporal Freq End,Amplitude,Offset,Phase
0,0.08,1,2,0.5,1.5,0.5,1.5714
0,0.08,1,0.5,2,1.5,0.5,0
90,0.08,1,2,0.5,1.5,0.5,1.5714
90,0.08,1,0.5,2,1.5,0.5,0
180,0.08,1,2,0.5,1.5,0.5,1.5714
180,0.08,1,0.5,2,1.5,0.5,0
270,0.08,1,2,0.5,1.5,0.5,1.5714
270,0.08,1,0.5,2,1.5,0.5,0
0,0.08,1,8,2,6,2,1.5714
0,0.08,1,2,8,6,2,0
90,0.08,1,8,2,6,2,1.5714
90,0.08,1,2,8,6,2,0
180,0.08,1,8,2,6,2,1.5714
180,0.08,1,2,8,6,2,0
270,0.08,1,8,2,6,2,1.5714
270,0.08,1,2,8,6,2,0
