X,Y,Diameter,White,Presentation Time
-85.0,-25.0,0.5,0.0,0.1
-85.0,-25.0,0.5,1.0,0.1
-85.0,-20.0,0.5,0.0,0.1
-85.0,-20.0,0.5,1.0,0.1
-85.0,-15.0,0.5,0.0,0.1
-85.0,-15.0,0.5,1.0,0.1
-85.0,-10.0,0.5,0.0,0.1
-85.0,-10.0,0.5,1.0,0.1
-85.0,-5.0,0.5,0.0,0.1
-85.0,-5.0,0.5,1.0,0.1
-85.0,0.0,0.5,0.0,0.1
-85.0,0.0,0.5,1.0,0.1
-85.0,5.0,0.5,0.0,0.1
-85.0,5.0,0.5,1.0,0.1
-85.0,10.0,0.5,0.0,0.1
-85.0,10.0,0.5,1.0,0.1
-85.0,15.0,0.5,0.0,0.1
-85.0,15.0,0.5,1.0,0.1
-85.0,20.0,0.5,0.0,0.1
-85.0,20.0,0.5,1.0,0.1
-85.0,25.0,0.5,0.0,0.1
-85.0,25.0,0.5,1.0,0.1
-85.0,30.0,0.5,0.0,0.1
-85.0,30.0,0.5,1.0,0.1
-80.0,-25.0,0.5,0.0,0.1
-80.0,-25.0,0.5,1.0,0.1
-80.0,-20.0,0.5,0.0,0.1
-80.0,-20.0,0.5,1.0,0.1
-80.0,-15.0,0.5,0.0,0.1
-80.0,-15.0,0.5,1.0,0.1
-80.0,-10.0,0.5,0.0,0.1
-80.0,-10.0,0.5,1.0,0.1
-80.0,-5.0,0.5,0.0,0.1
-80.0,-5.0,0.5,1.0,0.1
-80.0,0.0,0.5,0.0,0.1
-80.0,0.0,0.5,1.0,0.1
-80.0,5.0,0.5,0.0,0.1
-80.0,5.0,0.5,1.0,0.1
-80.0,10.0,0.5,0.0,0.1
-80.0,10.0,0.5,1.0,0.1
-80.0,15.0,0.5,0.0,0.1
-80.0,15.0,0.5,1.0,0.1
-80.0,20.0,0.5,0.0,0.1
-80.0,20.0,0.5,1.0,0.1
-80.0,25.0,0.5,0.0,0.1
-80.0,25.0,0.5,1.0,0.1
-80.0,30.0,0.5,0.0,0.1
-80.0,30.0,0.5,1.0,0.1
-75.0,-25.0,0.5,0.0,0.1
-75.0,-25.0,0.5,1.0,0.1
-75.0,-20.0,0.5,0.0,0.1
-75.0,-20.0,0.5,1.0,0.1
-75.0,-15.0,0.5,0.0,0.1
-75.0,-15.0,0.5,1.0,0.1
-75.0,-10.0,0.5,0.0,0.1
-75.0,-10.0,0.5,1.0,0.1
-75.0,-5.0,0.5,0.0,0.1
-75.0,-5.0,0.5,1.0,0.1
-75.0,0.0,0.5,0.0,0.1
-75.0,0.0,0.5,1.0,0.1
-75.0,5.0,0.5,0.0,0.1
-75.0,5.0,0.5,1.0,0.1
-75.0,10.0,0.5,0.0,0.1
