X,Y,Diameter,White,Presentation Time
-90,-20,16,0,0.2
-90,-20,16,1,0.2
-90,-10,16,0,0.2
-90,-10,16,1,0.2
-90,0,16,0,0.2
-90,0,16,1,0.2
-90,10,16,0,0.2
-90,10,16,1,0.2
-90,20,16,0,0.2
-90,20,16,1,0.2
-90,30,16,0,0.2
-90,30,16,1,0.2
-90,40,16,0,0.2
-90,40,16,1,0.2
-80,-20,16,0,0.2
-80,-20,16,1,0.2
-80,-10,16,0,0.2
-80,-10,16,1,0.2
-80,0,16,0,0.2
-80,0,16,1,0.2
-80,10,16,0,0.2
-80,10,16,1,0.2
-80,20,16,0,0.2
-80,20,16,1,0.2
-80,30,16,0,0.2
-80,30,16,1,0.2
-80,40,16,0,0.2
-80,40,16,1,0.2
-70,-20,16,0,0.2
-70,-20,16,1,0.2
-70,-10,16,0,0.2
-70,-10,16,1,0.2
-70,0,16,0,0.2
-70,0,16,1,0.2
-70,10,16,0,0.2
-70,10,16,1,0.2
-70,20,16,0,0.2
-70,20,16,1,0.2
-70,30,16,0,0.2
-70,30,16,1,0.2
-70,40,16,0,0.2
-70,40,16,1,0.2
-60,-20,16,0,0.2
-60,-20,16,1,0.2
-60,-10,16,0,0.2
-60,-10,16,1,0.2
-60,0,16,0,0.2
-60,0,16,1,0.2
-60,10,16,0,0.2
-60,10,16,1,0.2
-60,20,16,0,0.2
-60,20,16,1,0.2
-60,30,16,0,0.2
-60,30,16,1,0.2
-60,40,16,0,0.2
-60,40,16,1,0.2
-50,-20,16,0,0.2
-50,-20,16,1,0.2
-50,-10,16,0,0.2
-50,-10,16,1,0.2
-50,0,16,0,0.2
-50,0,16,1,0.2
-50,10,16,0,0.2
-50,10,16,1,0.2
-50,20,16,0,0.2
-50,20,16,1,0.2
-50,30,16,0,0.2
-50,30,16,1,0.2
-50,40,16,0,0.2
-50,40,16,1,0.2
-40,-20,16,0,0.2
-40,-20,16,1,0.2
-40,-10,16,0,0.2
-40,-10,16,1,0.2
-40,0,16,0,0.2
-40,0,16,1,0.2
-40,10,16,0,0.2
-40,10,16,1,0.2
-40,20,16,0,0.2
-40,20,16,1,0.2
-40,30,16,0,0.2
-40,30,16,1,0.2
-40,40,16,0,0.2
-40,40,16,1,0.2
-30,-20,16,0,0.2
-30,-20,16,1,0.2
-30,-10,16,0,0.2
-30,-10,16,1,0.2
-30,0,16,0,0.2
-30,0,16,1,0.2
-30,10,16,0,0.2
-30,10,16,1,0.2
-30,20,16,0,0.2
-30,20,16,1,0.2
-30,30,16,0,0.2
-30,30,16,1,0.2
-30,40,16,0,0.2
-30,40,16,1,0.2
-20,-20,16,0,0.2
-20,-20,16,1,0.2
-20,-10,16,0,0.2
-20,-10,16,1,0.2
-20,0,16,0,0.2
-20,0,16,1,0.2
-20,10,16,0,0.2
-20,10,16,1,0.2
-20,20,16,0,0.2
-20,20,16,1,0.2
-20,30,16,0,0.2
-20,30,16,1,0.2
-20,40,16,0,0.2
-20,40,16,1,0.2
-10,-20,16,0,0.2
-10,-20,16,1,0.2
-10,-10,16,0,0.2
-10,-10,16,1,0.2
-10,0,16,0,0.2
-10,0,16,1,0.2
-10,10,16,0,0.2
-10,10,16,1,0.2
-10,20,16,0,0.2
-10,20,16,1,0.2
-10,30,16,0,0.2
-10,30,16,1,0.2
-10,40,16,0,0.2
-10,40,16,1,0.2
