X,Y,Diameter,White,Presentation Time
-150.0,-12.0,0.5,0.0,0.1
-150.0,-12.0,0.5,1.0,0.1
-150.0,-10.0,0.5,0.0,0.1
-150.0,-10.0,0.5,1.0,0.1
-150.0,-8.0,0.5,0.0,0.1
-150.0,-8.0,0.5,1.0,0.1
-150.0,-6.0,0.5,0.0,0.1
-150.0,-6.0,0.5,1.0,0.1
-150.0,-4.0,0.5,0.0,0.1
-150.0,-4.0,0.5,1.0,0.1
-150.0,-2.0,0.5,0.0,0.1
-150.0,-2.0,0.5,1.0,0.1
-150.0,0.0,0.5,0.0,0.1
-150.0,0.0,0.5,1.0,0.1
-150.0,2.0,0.5,0.0,0.1
-150.0,2.0,0.5,1.0,0.1
-150.0,4.0,0.5,0.0,0.1
-150.0,4.0,0.5,1.0,0.1
-150.0,6.0,0.5,0.0,0.1
-150.0,6.0,0.5,1.0,0.1
-150.0,8.0,0.5,0.0,0.1
-150.0,8.0,0.5,1.0,0.1
-150.0,10.0,0.5,0.0,0.1
-150.0,10.0,0.5,1.0,0.1
-150.0,12.0,0.5,0.0,0.1
-150.0,12.0,0.5,1.0,0.1
-150.0,14.0,0.5,0.0,0.1
-150.0,14.0,0.5,1.0,0.1
-150.0,16.0,0.5,0.0,0.1
-150.0,16.0,0.5,1.0,0.1
-150.0,18.0,0.5,0.0,0.1
-150.0,18.0,0.5,1.0,0.1
-150.0,20.0,0.5,0.0,0.1
-150.0,20.0,0.5,1.0,0.1
-150.0,22.0,0.5,0.0,0.1
-150.0,22.0,0.5,1.0,0.1
-150.0,24.0,0.5,0.0,0.1
-150.0,24.0,0.5,1.0,0.1
-150.0,26.0,0.5,0.0,0.1
-150.0,26.0,0.5,1.0,0.1
-150.0,28.0,0.5,0.0,0.1
-150.0,28.0,0.5,1.0,0.1
-150.0,30.0,0.5,0.0,0.1
-150.0,30.0,0.5,1.0,0.1
-150.0,32.0,0.5,0.0,0.1
-150.0,32.0,0.5,1.0,0.1
-150.0,34.0,0.5,0.0,0.1
-150.0,34.0,0.5,1.0,0.1
-150.0,36.0,0.5,0.0,0.1
-150.0,36.0,0.5,1.0,0.1
-150.0,38.0,0.5,0.0,0.1
-150.0,38.0,0.5,1.0,0.1
-150.0,40.0,0.5,0.0,0.1
-150.0,40.0,0.5,1.0,0.1
-150.0,42.0,0.5,0.0,0.1
-150.0,42.0,0.5,1.0,0.1
-150.0,44.0,0.5,0.0,0.1
-150.0,44.0,0.5,1.0,0.1
-150.0,46.0,0.5,0.0,0.1
-150.0,46.0,0.5,1.0,0.1
-148.0,-12.0,0.5,0.0,0.1
-148.0,-12.0,0.5,1.0,0.1
-148.0,-10.0,0.5,0.0,0.1
-148.0,-10.0,0.5,1.0,0.1
-148.0,-8.0,0.5,0.0,0.1
-148.0,-8.0,0.5,1.0,0.1
-148.0,-6.0,0.5,0.0,0.1
-148.0,-6.0,0.5,1.0,0.1
-148.0,-4.0,0.5,0.0,0.1
-148.0,-4.0,0.5,1.0,0.1
-148.0,-2.0,0.5,0.0,0.1
-148.0,-2.0,0.5,1.0,0.1
-148.0,0.0,0.5,0.0,0.1
-148.0,0.0,0.5,1.0,0.1
-148.0,2.0,0.5,0.0,0.1
-148.0,2.0,0.5,1.0,0.1
-148.0,4.0,0.5,0.0,0.1
-148.0,4.0,0.5,1.0,0.1
-148.0,6.0,0.5,0.0,0.1
-148.0,6.0,0.5,1.0,0.1
-148.0,8.0,0.5,0.0,0.1
-148.0,8.0,0.5,1.0,0.1
-148.0,10.0,0.5,0.0,0.1
-148.0,10.0,0.5,1.0,0.1
-148.0,12.0,0.5,0.0,0.1
-148.0,12.0,0.5,1.0,0.1
-148.0,14.0,0.5,0.0,0.1
-148.0,14.0,0.5,1.0,0.1
-148.0,16.0,0.5,0.0,0.1
-148.0,16.0,0.5,1.0,0.1
-148.0,18.0,0.5,0.0,0.1
-148.0,18.0,0.5,1.0,0.1
-148.0,20.0,0.5,0.0,0.1
-148.0,20.0,0.5,1.0,0.1
-148.0,22.0,0.5,0.0,0.1
-148.0,22.0,0.5,1.0,0.1
-148.0,24.0,0.5,0.0,0.1
-148.0,24.0,0.5,1.0,0.1
-148.0,26.0,0.5,0.0,0.1
-148.0,26.0,0.5,1.0,0.1
-148.0,28.0,0.5,0.0,0.1
-148.0,28.0,0.5,1.0,0.1
-148.0,30.0,0.5,0.0,0.1
-148.0,30.0,0.5,1.0,0.1
-148.0,32.0,0.5,0.0,0.1
-148.0,32.0,0.5,1.0,0.1
-148.0,34.0,0.5,0.0,0.1
-148.0,34.0,0.5,1.0,0.1
-148.0,36.0,0.5,0.0,0.1
-148.0,36.0,0.5,1.0,0.1
-148.0,38.0,0.5,0.0,0.1
-148.0,38.0,0.5,1.0,0.1
-148.0,40.0,0.5,0.0,0.1
-148.0,40.0,0.5,1.0,0.1
-148.0,42.0,0.5,0.0,0.1
-148.0,42.0,0.5,1.0,0.1
-148.0,44.0,0.5,0.0,0.1
-148.0,44.0,0.5,1.0,0.1
-148.0,46.0,0.5,0.0,0.1
-148.0,46.0,0.5,1.0,0.1
-146.0,-12.0,0.5,0.0,0.1
-146.0,-12.0,0.5,1.0,0.1
-146.0,-10.0,0.5,0.0,0.1
-146.0,-10.0,0.5,1.0,0.1
-146.0,-8.0,0.5,0.0,0.1
-146.0,-8.0,0.5,1.0,0.1
-146.0,-6.0,0.5,0.0,0.1
-146.0,-6.0,0.5,1.0,0.1
-146.0,-4.0,0.5,0.0,0.1
-146.0,-4.0,0.5,1.0,0.1
-146.0,-2.0,0.5,0.0,0.1
-146.0,-2.0,0.5,1.0,0.1
-146.0,0.0,0.5,0.0,0.1
-146.0,0.0,0.5,1.0,0.1
-146.0,2.0,0.5,0.0,0.1
-146.0,2.0,0.5,1.0,0.1
-146.0,4.0,0.5,0.0,0.1
-146.0,4.0,0.5,1.0,0.1
-146.0,6.0,0.5,0.0,0.1
-146.0,6.0,0.5,1.0,0.1
-146.0,8.0,0.5,0.0,0.1
-146.0,8.0,0.5,1.0,0.1
-146.0,10.0,0.5,0.0,0.1
-146.0,10.0,0.5,1.0,0.1
-146.0,12.0,0.5,0.0,0.1
-146.0,12.0,0.5,1.0,0.1
-146.0,14.0,0.5,0.0,0.1
-146.0,14.0,0.5,1.0,0.1
-146.0,16.0,0.5,0.0,0.1
-146.0,16.0,0.5,1.0,0.1
-146.0,18.0,0.5,0.0,0.1
-146.0,18.0,0.5,1.0,0.1
-146.0,20.0,0.5,0.0,0.1
-146.0,20.0,0.5,1.0,0.1
-146.0,22.0,0.5,0.0,0.1
-146.0,22.0,0.5,1.0,0.1
-146.0,24.0,0.5,0.0,0.1
-146.0,24.0,0.5,1.0,0.1
-146.0,26.0,0.5,0.0,0.1
-146.0,26.0,0.5,1.0,0.1
-146.0,28.0,0.5,0.0,0.1
-146.0,28.0,0.5,1.0,0.1
-146.0,30.0,0.5,0.0,0.1
-146.0,30.0,0.5,1.0,0.1
-146.0,32.0,0.5,0.0,0.1
-146.0,32.0,0.5,1.0,0.1
-146.0,34.0,0.5,0.0,0.1
-146.0,34.0,0.5,1.0,0.1
-146.0,36.0,0.5,0.0,0.1
-146.0,36.0,0.5,1.0,0.1
-146.0,38.0,0.5,0.0,0.1
-146.0,38.0,0.5,1.0,0.1
-146.0,40.0,0.5,0.0,0.1
-146.0,40.0,0.5,1.0,0.1
-146.0,42.0,0.5,0.0,0.1
-146.0,42.0,0.5,1.0,0.1
-146.0,44.0,0.5,0.0,0.1
-146.0,44.0,0.5,1.0,0.1
-146.0,46.0,0.5,0.0,0.1
-146.0,46.0,0.5,1.0,0.1
-144.0,-12.0,0.5,0.0,0.1
-144.0,-12.0,0.5,1.0,0.1
-144.0,-10.0,0.5,0.0,0.1
-144.0,-10.0,0.5,1.0,0.1
-144.0,-8.0,0.5,0.0,0.1
-144.0,-8.0,0.5,1.0,0.1
-144.0,-6.0,0.5,0.0,0.1
-144.0,-6.0,0.5,1.0,0.1
-144.0,-4.0,0.5,0.0,0.1
-144.0,-4.0,0.5,1.0,0.1
-144.0,-2.0,0.5,0.0,0.1
-144.0,-2.0,0.5,1.0,0.1
-144.0,0.0,0.5,0.0,0.1
-144.0,0.0,0.5,1.0,0.1
-144.0,2.0,0.5,0.0,0.1
-144.0,2.0,0.5,1.0,0.1
-144.0,4.0,0.5,0.0,0.1
-144.0,4.0,0.5,1.0,0.1
-144.0,6.0,0.5,0.0,0.1
-144.0,6.0,0.5,1.0,0.1
-144.0,8.0,0.5,0.0,0.1
-144.0,8.0,0.5,1.0,0.1
-144.0,10.0,0.5,0.0,0.1
-144.0,10.0,0.5,1.0,0.1
-144.0,12.0,0.5,0.0,0.1
-144.0,12.0,0.5,1.0,0.1
-144.0,14.0,0.5,0.0,0.1
-144.0,14.0,0.5,1.0,0.1
-144.0,16.0,0.5,0.0,0.1
-144.0,16.0,0.5,1.0,0.1
-144.0,18.0,0.5,0.0,0.1
-144.0,18.0,0.5,1.0,0.1
-144.0,20.0,0.5,0.0,0.1
-144.0,20.0,0.5,1.0,0.1
-144.0,22.0,0.5,0.0,0.1
-144.0,22.0,0.5,1.0,0.1
-144.0,24.0,0.5,0.0,0.1
-144.0,24.0,0.5,1.0,0.1
-144.0,26.0,0.5,0.0,0.1
-144.0,26.0,0.5,1.0,0.1
-144.0,28.0,0.5,0.0,0.1
-144.0,28.0,0.5,1.0,0.1
-144.0,30.0,0.5,0.0,0.1
-144.0,30.0,0.5,1.0,0.1
-144.0,32.0,0.5,0.0,0.1
-144.0,32.0,0.5,1.0,0.1
-144.0,34.0,0.5,0.0,0.1
-144.0,34.0,0.5,1.0,0.1
-144.0,36.0,0.5,0.0,0.1
-144.0,36.0,0.5,1.0,0.1
-144.0,38.0,0.5,0.0,0.1
-144.0,38.0,0.5,1.0,0.1
-144.0,40.0,0.5,0.0,0.1
-144.0,40.0,0.5,1.0,0.1
-144.0,42.0,0.5,0.0,0.1
-144.0,42.0,0.5,1.0,0.1
-144.0,44.0,0.5,0.0,0.1
-144.0,44.0,0.5,1.0,0.1
-144.0,46.0,0.5,0.0,0.1
-144.0,46.0,0.5,1.0,0.1
-142.0,-12.0,0.5,0.0,0.1
-142.0,-12.0,0.5,1.0,0.1
-142.0,-10.0,0.5,0.0,0.1
-142.0,-10.0,0.5,1.0,0.1
-142.0,-8.0,0.5,0.0,0.1
-142.0,-8.0,0.5,1.0,0.1
-142.0,-6.0,0.5,0.0,0.1
-142.0,-6.0,0.5,1.0,0.1
-142.0,-4.0,0.5,0.0,0.1
-142.0,-4.0,0.5,1.0,0.1
-142.0,-2.0,0.5,0.0,0.1
-142.0,-2.0,0.5,1.0,0.1
-142.0,0.0,0.5,0.0,0.1
-142.0,0.0,0.5,1.0,0.1
-142.0,2.0,0.5,0.0,0.1
-142.0,2.0,0.5,1.0,0.1
-142.0,4.0,0.5,0.0,0.1
-142.0,4.0,0.5,1.0,0.1
-142.0,6.0,0.5,0.0,0.1
-142.0,6.0,0.5,1.0,0.1
-142.0,8.0,0.5,0.0,0.1
-142.0,8.0,0.5,1.0,0.1
-142.0,10.0,0.5,0.0,0.1
-142.0,10.0,0.5,1.0,0.1
-142.0,12.0,0.5,0.0,0.1
-142.0,12.0,0.5,1.0,0.1
-142.0,14.0,0.5,0.0,0.1
-142.0,14.0,0.5,1.0,0.1
-142.0,16.0,0.5,0.0,0.1
-142.0,16.0,0.5,1.0,0.1
-142.0,18.0,0.5,0.0,0.1
-142.0,18.0,0.5,1.0,0.1
-142.0,20.0,0.5,0.0,0.1
-142.0,20.0,0.5,1.0,0.1
-142.0,22.0,0.5,0.0,0.1
-142.0,22.0,0.5,1.0,0.1
-142.0,24.0,0.5,0.0,0.1
-142.0,24.0,0.5,1.0,0.1
-142.0,26.0,0.5,0.0,0.1
-142.0,26.0,0.5,1.0,0.1
-142.0,28.0,0.5,0.0,0.1
-142.0,28.0,0.5,1.0,0.1
-142.0,30.0,0.5,0.0,0.1
-142.0,30.0,0.5,1.0,0.1
-142.0,32.0,0.5,0.0,0.1
-142.0,32.0,0.5,1.0,0.1
-142.0,34.0,0.5,0.0,0.1
-142.0,34.0,0.5,1.0,0.1
-142.0,36.0,0.5,0.0,0.1
-142.0,36.0,0.5,1.0,0.1
-142.0,38.0,0.5,0.0,0.1
-142.0,38.0,0.5,1.0,0.1
-142.0,40.0,0.5,0.0,0.1
-142.0,40.0,0.5,1.0,0.1
-142.0,42.0,0.5,0.0,0.1
-142.0,42.0,0.5,1.0,0.1
-142.0,44.0,0.5,0.0,0.1
-142.0,44.0,0.5,1.0,0.1
-142.0,46.0,0.5,0.0,0.1
-142.0,46.0,0.5,1.0,0.1
-140.0,-12.0,0.5,0.0,0.1
-140.0,-12.0,0.5,1.0,0.1
-140.0,-10.0,0.5,0.0,0.1
-140.0,-10.0,0.5,1.0,0.1
-140.0,-8.0,0.5,0.0,0.1
-140.0,-8.0,0.5,1.0,0.1
-140.0,-6.0,0.5,0.0,0.1
-140.0,-6.0,0.5,1.0,0.1
-140.0,-4.0,0.5,0.0,0.1
-140.0,-4.0,0.5,1.0,0.1
-140.0,-2.0,0.5,0.0,0.1
-140.0,-2.0,0.5,1.0,0.1
-140.0,0.0,0.5,0.0,0.1
-140.0,0.0,0.5,1.0,0.1
-140.0,2.0,0.5,0.0,0.1
-140.0,2.0,0.5,1.0,0.1
-140.0,4.0,0.5,0.0,0.1
-140.0,4.0,0.5,1.0,0.1
-140.0,6.0,0.5,0.0,0.1
-140.0,6.0,0.5,1.0,0.1
-140.0,8.0,0.5,0.0,0.1
-140.0,8.0,0.5,1.0,0.1
-140.0,10.0,0.5,0.0,0.1
-140.0,10.0,0.5,1.0,0.1
-140.0,12.0,0.5,0.0,0.1
-140.0,12.0,0.5,1.0,0.1
-140.0,14.0,0.5,0.0,0.1
-140.0,14.0,0.5,1.0,0.1
-140.0,16.0,0.5,0.0,0.1
-140.0,16.0,0.5,1.0,0.1
-140.0,18.0,0.5,0.0,0.1
-140.0,18.0,0.5,1.0,0.1
-140.0,20.0,0.5,0.0,0.1
-140.0,20.0,0.5,1.0,0.1
-140.0,22.0,0.5,0.0,0.1
-140.0,22.0,0.5,1.0,0.1
-140.0,24.0,0.5,0.0,0.1
-140.0,24.0,0.5,1.0,0.1
-140.0,26.0,0.5,0.0,0.1
-140.0,26.0,0.5,1.0,0.1
-140.0,28.0,0.5,0.0,0.1
-140.0,28.0,0.5,1.0,0.1
-140.0,30.0,0.5,0.0,0.1
-140.0,30.0,0.5,1.0,0.1
-140.0,32.0,0.5,0.0,0.1
-140.0,32.0,0.5,1.0,0.1
-140.0,34.0,0.5,0.0,0.1
-140.0,34.0,0.5,1.0,0.1
-140.0,36.0,0.5,0.0,0.1
-140.0,36.0,0.5,1.0,0.1
-140.0,38.0,0.5,0.0,0.1
-140.0,38.0,0.5,1.0,0.1
-140.0,40.0,0.5,0.0,0.1
-140.0,40.0,0.5,1.0,0.1
-140.0,42.0,0.5,0.0,0.1
-140.0,42.0,0.5,1.0,0.1
-140.0,44.0,0.5,0.0,0.1
-140.0,44.0,0.5,1.0,0.1
-140.0,46.0,0.5,0.0,0.1
-140.0,46.0,0.5,1.0,0.1
-138.0,-12.0,0.5,0.0,0.1
-138.0,-12.0,0.5,1.0,0.1
-138.0,-10.0,0.5,0.0,0.1
-138.0,-10.0,0.5,1.0,0.1
-138.0,-8.0,0.5,0.0,0.1
-138.0,-8.0,0.5,1.0,0.1
-138.0,-6.0,0.5,0.0,0.1
-138.0,-6.0,0.5,1.0,0.1
-138.0,-4.0,0.5,0.0,0.1
-138.0,-4.0,0.5,1.0,0.1
-138.0,-2.0,0.5,0.0,0.1
-138.0,-2.0,0.5,1.0,0.1
-138.0,0.0,0.5,0.0,0.1
-138.0,0.0,0.5,1.0,0.1
-138.0,2.0,0.5,0.0,0.1
-138.0,2.0,0.5,1.0,0.1
-138.0,4.0,0.5,0.0,0.1
-138.0,4.0,0.5,1.0,0.1
-138.0,6.0,0.5,0.0,0.1
-138.0,6.0,0.5,1.0,0.1
-138.0,8.0,0.5,0.0,0.1
-138.0,8.0,0.5,1.0,0.1
-138.0,10.0,0.5,0.0,0.1
-138.0,10.0,0.5,1.0,0.1
-138.0,12.0,0.5,0.0,0.1
-138.0,12.0,0.5,1.0,0.1
-138.0,14.0,0.5,0.0,0.1
-138.0,14.0,0.5,1.0,0.1
-138.0,16.0,0.5,0.0,0.1
-138.0,16.0,0.5,1.0,0.1
-138.0,18.0,0.5,0.0,0.1
-138.0,18.0,0.5,1.0,0.1
-138.0,20.0,0.5,0.0,0.1
-138.0,20.0,0.5,1.0,0.1
-138.0,22.0,0.5,0.0,0.1
-138.0,22.0,0.5,1.0,0.1
-138.0,24.0,0.5,0.0,0.1
-138.0,24.0,0.5,1.0,0.1
-138.0,26.0,0.5,0.0,0.1
-138.0,26.0,0.5,1.0,0.1
-138.0,28.0,0.5,0.0,0.1
-138.0,28.0,0.5,1.0,0.1
-138.0,30.0,0.5,0.0,0.1
-138.0,30.0,0.5,1.0,0.1
-138.0,32.0,0.5,0.0,0.1
-138.0,32.0,0.5,1.0,0.1
-138.0,34.0,0.5,0.0,0.1
-138.0,34.0,0.5,1.0,0.1
-138.0,36.0,0.5,0.0,0.1
-138.0,36.0,0.5,1.0,0.1
-138.0,38.0,0.5,0.0,0.1
-138.0,38.0,0.5,1.0,0.1
-138.0,40.0,0.5,0.0,0.1
-138.0,40.0,0.5,1.0,0.1
-138.0,42.0,0.5,0.0,0.1
-138.0,42.0,0.5,1.0,0.1
-138.0,44.0,0.5,0.0,0.1
-138.0,44.0,0.5,1.0,0.1
-138.0,46.0,0.5,0.0,0.1
