X,Y,Diameter,White,Presentation Time
-150.0,-12.0,0.5,0.0,0.1
-150.0,-12.0,0.5,1.0,0.1
-150.0,-7.0,0.5,0.0,0.1
-150.0,-7.0,0.5,1.0,0.1
-150.0,-2.0,0.5,0.0,0.1
-150.0,-2.0,0.5,1.0,0.1
-150.0,3.0,0.5,0.0,0.1
-150.0,3.0,0.5,1.0,0.1
-150.0,8.0,0.5,0.0,0.1
-150.0,8.0,0.5,1.0,0.1
-150.0,13.0,0.5,0.0,0.1
-150.0,13.0,0.5,1.0,0.1
-150.0,18.0,0.5,0.0,0.1
-150.0,18.0,0.5,1.0,0.1
-150.0,23.0,0.5,0.0,0.1
-150.0,23.0,0.5,1.0,0.1
-150.0,28.0,0.5,0.0,0.1
-150.0,28.0,0.5,1.0,0.1
-150.0,33.0,0.5,0.0,0.1
-150.0,33.0,0.5,1.0,0.1
-150.0,38.0,0.5,0.0,0.1
-150.0,38.0,0.5,1.0,0.1
-150.0,43.0,0.5,0.0,0.1
-150.0,43.0,0.5,1.0,0.1
-145.0,-12.0,0.5,0.0,0.1
-145.0,-12.0,0.5,1.0,0.1
-145.0,-7.0,0.5,0.0,0.1
-145.0,-7.0,0.5,1.0,0.1
-145.0,-2.0,0.5,0.0,0.1
-145.0,-2.0,0.5,1.0,0.1
-145.0,3.0,0.5,0.0,0.1
-145.0,3.0,0.5,1.0,0.1
-145.0,8.0,0.5,0.0,0.1
-145.0,8.0,0.5,1.0,0.1
-145.0,13.0,0.5,0.0,0.1
-145.0,13.0,0.5,1.0,0.1
-145.0,18.0,0.5,0.0,0.1
-145.0,18.0,0.5,1.0,0.1
-145.0,23.0,0.5,0.0,0.1
-145.0,23.0,0.5,1.0,0.1
-145.0,28.0,0.5,0.0,0.1
-145.0,28.0,0.5,1.0,0.1
-145.0,33.0,0.5,0.0,0.1
-145.0,33.0,0.5,1.0,0.1
-145.0,38.0,0.5,0.0,0.1
-145.0,38.0,0.5,1.0,0.1
-145.0,43.0,0.5,0.0,0.1
-145.0,43.0,0.5,1.0,0.1
-140.0,-12.0,0.5,0.0,0.1
-140.0,-12.0,0.5,1.0,0.1
-140.0,-7.0,0.5,0.0,0.1
-140.0,-7.0,0.5,1.0,0.1
-140.0,-2.0,0.5,0.0,0.1
-140.0,-2.0,0.5,1.0,0.1
-140.0,3.0,0.5,0.0,0.1
-140.0,3.0,0.5,1.0,0.1
-140.0,8.0,0.5,0.0,0.1
-140.0,8.0,0.5,1.0,0.1
-140.0,13.0,0.5,0.0,0.1
-140.0,13.0,0.5,1.0,0.1
-140.0,18.0,0.5,0.0,0.1
-140.0,18.0,0.5,1.0,0.1
-140.0,23.0,0.5,0.0,0.1
-140.0,23.0,0.5,1.0,0.1
-140.0,28.0,0.5,0.0,0.1
-140.0,28.0,0.5,1.0,0.1
-140.0,33.0,0.5,0.0,0.1
-140.0,33.0,0.5,1.0,0.1
-140.0,38.0,0.5,0.0,0.1
-140.0,38.0,0.5,1.0,0.1
-140.0,43.0,0.5,0.0,0.1
-140.0,43.0,0.5,1.0,0.1
-135.0,-12.0,0.5,0.0,0.1
-135.0,-12.0,0.5,1.0,0.1
-135.0,-7.0,0.5,0.0,0.1
-135.0,-7.0,0.5,1.0,0.1
-135.0,-2.0,0.5,0.0,0.1
-135.0,-2.0,0.5,1.0,0.1
-135.0,3.0,0.5,0.0,0.1
-135.0,3.0,0.5,1.0,0.1
-135.0,8.0,0.5,0.0,0.1
-135.0,8.0,0.5,1.0,0.1
-135.0,13.0,0.5,0.0,0.1
-135.0,13.0,0.5,1.0,0.1
-135.0,18.0,0.5,0.0,0.1
-135.0,18.0,0.5,1.0,0.1
-135.0,23.0,0.5,0.0,0.1
-135.0,23.0,0.5,1.0,0.1
-135.0,28.0,0.5,0.0,0.1
-135.0,28.0,0.5,1.0,0.1
-135.0,33.0,0.5,0.0,0.1
-135.0,33.0,0.5,1.0,0.1
-135.0,38.0,0.5,0.0,0.1
-135.0,38.0,0.5,1.0,0.1
-135.0,43.0,0.5,0.0,0.1
-135.0,43.0,0.5,1.0,0.1
-130.0,-12.0,0.5,0.0,0.1
-130.0,-12.0,0.5,1.0,0.1
-130.0,-7.0,0.5,0.0,0.1
-130.0,-7.0,0.5,1.0,0.1
-130.0,-2.0,0.5,0.0,0.1
-130.0,-2.0,0.5,1.0,0.1
-130.0,3.0,0.5,0.0,0.1
-130.0,3.0,0.5,1.0,0.1
-130.0,8.0,0.5,0.0,0.1
-130.0,8.0,0.5,1.0,0.1
-130.0,13.0,0.5,0.0,0.1
-130.0,13.0,0.5,1.0,0.1
-130.0,18.0,0.5,0.0,0.1
-130.0,18.0,0.5,1.0,0.1
-130.0,23.0,0.5,0.0,0.1
-130.0,23.0,0.5,1.0,0.1
-130.0,28.0,0.5,0.0,0.1
-130.0,28.0,0.5,1.0,0.1
-130.0,33.0,0.5,0.0,0.1
-130.0,33.0,0.5,1.0,0.1
-130.0,38.0,0.5,0.0,0.1
-130.0,38.0,0.5,1.0,0.1
-130.0,43.0,0.5,0.0,0.1
-130.0,43.0,0.5,1.0,0.1
-150.0,-12.0,1.0,0.0,0.1
-150.0,-12.0,1.0,1.0,0.1
-150.0,-7.0,1.0,0.0,0.1
-150.0,-7.0,1.0,1.0,0.1
-150.0,-2.0,1.0,0.0,0.1
-150.0,-2.0,1.0,1.0,0.1
-150.0,3.0,1.0,0.0,0.1
-150.0,3.0,1.0,1.0,0.1
-150.0,8.0,1.0,0.0,0.1
-150.0,8.0,1.0,1.0,0.1
-150.0,13.0,1.0,0.0,0.1
-150.0,13.0,1.0,1.0,0.1
-150.0,18.0,1.0,0.0,0.1
-150.0,18.0,1.0,1.0,0.1
-150.0,23.0,1.0,0.0,0.1
-150.0,23.0,1.0,1.0,0.1
-150.0,28.0,1.0,0.0,0.1
-150.0,28.0,1.0,1.0,0.1
-150.0,33.0,1.0,0.0,0.1
-150.0,33.0,1.0,1.0,0.1
-150.0,38.0,1.0,0.0,0.1
-150.0,38.0,1.0,1.0,0.1
-150.0,43.0,1.0,0.0,0.1
-150.0,43.0,1.0,1.0,0.1
-145.0,-12.0,1.0,0.0,0.1
-145.0,-12.0,1.0,1.0,0.1
-145.0,-7.0,1.0,0.0,0.1
-145.0,-7.0,1.0,1.0,0.1
-145.0,-2.0,1.0,0.0,0.1
-145.0,-2.0,1.0,1.0,0.1
-145.0,3.0,1.0,0.0,0.1
-145.0,3.0,1.0,1.0,0.1
-145.0,8.0,1.0,0.0,0.1
-145.0,8.0,1.0,1.0,0.1
-145.0,13.0,1.0,0.0,0.1
-145.0,13.0,1.0,1.0,0.1
-145.0,18.0,1.0,0.0,0.1
-145.0,18.0,1.0,1.0,0.1
-145.0,23.0,1.0,0.0,0.1
-145.0,23.0,1.0,1.0,0.1
-145.0,28.0,1.0,0.0,0.1
-145.0,28.0,1.0,1.0,0.1
-145.0,33.0,1.0,0.0,0.1
-145.0,33.0,1.0,1.0,0.1
-145.0,38.0,1.0,0.0,0.1
-145.0,38.0,1.0,1.0,0.1
-145.0,43.0,1.0,0.0,0.1
-145.0,43.0,1.0,1.0,0.1
-140.0,-12.0,1.0,0.0,0.1
-140.0,-12.0,1.0,1.0,0.1
-140.0,-7.0,1.0,0.0,0.1
-140.0,-7.0,1.0,1.0,0.1
-140.0,-2.0,1.0,0.0,0.1
-140.0,-2.0,1.0,1.0,0.1
-140.0,3.0,1.0,0.0,0.1
-140.0,3.0,1.0,1.0,0.1
-140.0,8.0,1.0,0.0,0.1
-140.0,8.0,1.0,1.0,0.1
-140.0,13.0,1.0,0.0,0.1
-140.0,13.0,1.0,1.0,0.1
-140.0,18.0,1.0,0.0,0.1
-140.0,18.0,1.0,1.0,0.1
-140.0,23.0,1.0,0.0,0.1
-140.0,23.0,1.0,1.0,0.1
-140.0,28.0,1.0,0.0,0.1
-140.0,28.0,1.0,1.0,0.1
-140.0,33.0,1.0,0.0,0.1
-140.0,33.0,1.0,1.0,0.1
-140.0,38.0,1.0,0.0,0.1
-140.0,38.0,1.0,1.0,0.1
-140.0,43.0,1.0,0.0,0.1
-140.0,43.0,1.0,1.0,0.1
-135.0,-12.0,1.0,0.0,0.1
-135.0,-12.0,1.0,1.0,0.1
-135.0,-7.0,1.0,0.0,0.1
-135.0,-7.0,1.0,1.0,0.1
-135.0,-2.0,1.0,0.0,0.1
-135.0,-2.0,1.0,1.0,0.1
-135.0,3.0,1.0,0.0,0.1
-135.0,3.0,1.0,1.0,0.1
-135.0,8.0,1.0,0.0,0.1
-135.0,8.0,1.0,1.0,0.1
-135.0,13.0,1.0,0.0,0.1
-135.0,13.0,1.0,1.0,0.1
-135.0,18.0,1.0,0.0,0.1
-135.0,18.0,1.0,1.0,0.1
-135.0,23.0,1.0,0.0,0.1
-135.0,23.0,1.0,1.0,0.1
-135.0,28.0,1.0,0.0,0.1
-135.0,28.0,1.0,1.0,0.1
-135.0,33.0,1.0,0.0,0.1
-135.0,33.0,1.0,1.0,0.1
-135.0,38.0,1.0,0.0,0.1
-135.0,38.0,1.0,1.0,0.1
-135.0,43.0,1.0,0.0,0.1
-135.0,43.0,1.0,1.0,0.1
-130.0,-12.0,1.0,0.0,0.1
-130.0,-12.0,1.0,1.0,0.1
-130.0,-7.0,1.0,0.0,0.1
-130.0,-7.0,1.0,1.0,0.1
-130.0,-2.0,1.0,0.0,0.1
-130.0,-2.0,1.0,1.0,0.1
-130.0,3.0,1.0,0.0,0.1
-130.0,3.0,1.0,1.0,0.1
-130.0,8.0,1.0,0.0,0.1
-130.0,8.0,1.0,1.0,0.1
-130.0,13.0,1.0,0.0,0.1
-130.0,13.0,1.0,1.0,0.1
-130.0,18.0,1.0,0.0,0.1
-130.0,18.0,1.0,1.0,0.1
-130.0,23.0,1.0,0.0,0.1
-130.0,23.0,1.0,1.0,0.1
-130.0,28.0,1.0,0.0,0.1
-130.0,28.0,1.0,1.0,0.1
-130.0,33.0,1.0,0.0,0.1
-130.0,33.0,1.0,1.0,0.1
-130.0,38.0,1.0,0.0,0.1
-130.0,38.0,1.0,1.0,0.1
-130.0,43.0,1.0,0.0,0.1
-130.0,43.0,1.0,1.0,0.1
-150.0,-12.0,2.0,0.0,0.1
-150.0,-12.0,2.0,1.0,0.1
-150.0,-7.0,2.0,0.0,0.1
-150.0,-7.0,2.0,1.0,0.1
-150.0,-2.0,2.0,0.0,0.1
-150.0,-2.0,2.0,1.0,0.1
-150.0,3.0,2.0,0.0,0.1
-150.0,3.0,2.0,1.0,0.1
-150.0,8.0,2.0,0.0,0.1
-150.0,8.0,2.0,1.0,0.1
-150.0,13.0,2.0,0.0,0.1
-150.0,13.0,2.0,1.0,0.1
-150.0,18.0,2.0,0.0,0.1
-150.0,18.0,2.0,1.0,0.1
-150.0,23.0,2.0,0.0,0.1
-150.0,23.0,2.0,1.0,0.1
-150.0,28.0,2.0,0.0,0.1
-150.0,28.0,2.0,1.0,0.1
-150.0,33.0,2.0,0.0,0.1
-150.0,33.0,2.0,1.0,0.1
-150.0,38.0,2.0,0.0,0.1
-150.0,38.0,2.0,1.0,0.1
-150.0,43.0,2.0,0.0,0.1
-150.0,43.0,2.0,1.0,0.1
-145.0,-12.0,2.0,0.0,0.1
-145.0,-12.0,2.0,1.0,0.1
-145.0,-7.0,2.0,0.0,0.1
-145.0,-7.0,2.0,1.0,0.1
-145.0,-2.0,2.0,0.0,0.1
-145.0,-2.0,2.0,1.0,0.1
-145.0,3.0,2.0,0.0,0.1
-145.0,3.0,2.0,1.0,0.1
-145.0,8.0,2.0,0.0,0.1
-145.0,8.0,2.0,1.0,0.1
-145.0,13.0,2.0,0.0,0.1
-145.0,13.0,2.0,1.0,0.1
-145.0,18.0,2.0,0.0,0.1
-145.0,18.0,2.0,1.0,0.1
-145.0,23.0,2.0,0.0,0.1
-145.0,23.0,2.0,1.0,0.1
-145.0,28.0,2.0,0.0,0.1
-145.0,28.0,2.0,1.0,0.1
-145.0,33.0,2.0,0.0,0.1
-145.0,33.0,2.0,1.0,0.1
-145.0,38.0,2.0,0.0,0.1
-145.0,38.0,2.0,1.0,0.1
-145.0,43.0,2.0,0.0,0.1
-145.0,43.0,2.0,1.0,0.1
-140.0,-12.0,2.0,0.0,0.1
-140.0,-12.0,2.0,1.0,0.1
-140.0,-7.0,2.0,0.0,0.1
-140.0,-7.0,2.0,1.0,0.1
-140.0,-2.0,2.0,0.0,0.1
-140.0,-2.0,2.0,1.0,0.1
-140.0,3.0,2.0,0.0,0.1
-140.0,3.0,2.0,1.0,0.1
-140.0,8.0,2.0,0.0,0.1
-140.0,8.0,2.0,1.0,0.1
-140.0,13.0,2.0,0.0,0.1
-140.0,13.0,2.0,1.0,0.1
-140.0,18.0,2.0,0.0,0.1
-140.0,18.0,2.0,1.0,0.1
-140.0,23.0,2.0,0.0,0.1
-140.0,23.0,2.0,1.0,0.1
-140.0,28.0,2.0,0.0,0.1
-140.0,28.0,2.0,1.0,0.1
-140.0,33.0,2.0,0.0,0.1
-140.0,33.0,2.0,1.0,0.1
-140.0,38.0,2.0,0.0,0.1
-140.0,38.0,2.0,1.0,0.1
-140.0,43.0,2.0,0.0,0.1
-140.0,43.0,2.0,1.0,0.1
-135.0,-12.0,2.0,0.0,0.1
-135.0,-12.0,2.0,1.0,0.1
-135.0,-7.0,2.0,0.0,0.1
-135.0,-7.0,2.0,1.0,0.1
-135.0,-2.0,2.0,0.0,0.1
-135.0,-2.0,2.0,1.0,0.1
-135.0,3.0,2.0,0.0,0.1
-135.0,3.0,2.0,1.0,0.1
-135.0,8.0,2.0,0.0,0.1
-135.0,8.0,2.0,1.0,0.1
-135.0,13.0,2.0,0.0,0.1
-135.0,13.0,2.0,1.0,0.1
-135.0,18.0,2.0,0.0,0.1
-135.0,18.0,2.0,1.0,0.1
-135.0,23.0,2.0,0.0,0.1
-135.0,23.0,2.0,1.0,0.1
-135.0,28.0,2.0,0.0,0.1
-135.0,28.0,2.0,1.0,0.1
-135.0,33.0,2.0,0.0,0.1
-135.0,33.0,2.0,1.0,0.1
-135.0,38.0,2.0,0.0,0.1
-135.0,38.0,2.0,1.0,0.1
-135.0,43.0,2.0,0.0,0.1
-135.0,43.0,2.0,1.0,0.1
-130.0,-12.0,2.0,0.0,0.1
-130.0,-12.0,2.0,1.0,0.1
-130.0,-7.0,2.0,0.0,0.1
-130.0,-7.0,2.0,1.0,0.1
-130.0,-2.0,2.0,0.0,0.1
-130.0,-2.0,2.0,1.0,0.1
-130.0,3.0,2.0,0.0,0.1
-130.0,3.0,2.0,1.0,0.1
-130.0,8.0,2.0,0.0,0.1
-130.0,8.0,2.0,1.0,0.1
-130.0,13.0,2.0,0.0,0.1
-130.0,13.0,2.0,1.0,0.1
-130.0,18.0,2.0,0.0,0.1
-130.0,18.0,2.0,1.0,0.1
-130.0,23.0,2.0,0.0,0.1
-130.0,23.0,2.0,1.0,0.1
-130.0,28.0,2.0,0.0,0.1
-130.0,28.0,2.0,1.0,0.1
-130.0,33.0,2.0,0.0,0.1
-130.0,33.0,2.0,1.0,0.1
-130.0,38.0,2.0,0.0,0.1
-130.0,38.0,2.0,1.0,0.1
-130.0,43.0,2.0,0.0,0.1
-130.0,43.0,2.0,1.0,0.1
-150.0,-12.0,4.0,0.0,0.1
-150.0,-12.0,4.0,1.0,0.1
-150.0,-7.0,4.0,0.0,0.1
-150.0,-7.0,4.0,1.0,0.1
-150.0,-2.0,4.0,0.0,0.1
-150.0,-2.0,4.0,1.0,0.1
-150.0,3.0,4.0,0.0,0.1
-150.0,3.0,4.0,1.0,0.1
-150.0,8.0,4.0,0.0,0.1
-150.0,8.0,4.0,1.0,0.1
-150.0,13.0,4.0,0.0,0.1
-150.0,13.0,4.0,1.0,0.1
-150.0,18.0,4.0,0.0,0.1
-150.0,18.0,4.0,1.0,0.1
-150.0,23.0,4.0,0.0,0.1
-150.0,23.0,4.0,1.0,0.1
-150.0,28.0,4.0,0.0,0.1
-150.0,28.0,4.0,1.0,0.1
-150.0,33.0,4.0,0.0,0.1
-150.0,33.0,4.0,1.0,0.1
-150.0,38.0,4.0,0.0,0.1
-150.0,38.0,4.0,1.0,0.1
-150.0,43.0,4.0,0.0,0.1
-150.0,43.0,4.0,1.0,0.1
-145.0,-12.0,4.0,0.0,0.1
-145.0,-12.0,4.0,1.0,0.1
-145.0,-7.0,4.0,0.0,0.1
-145.0,-7.0,4.0,1.0,0.1
-145.0,-2.0,4.0,0.0,0.1
-145.0,-2.0,4.0,1.0,0.1
-145.0,3.0,4.0,0.0,0.1
-145.0,3.0,4.0,1.0,0.1
-145.0,8.0,4.0,0.0,0.1
-145.0,8.0,4.0,1.0,0.1
-145.0,13.0,4.0,0.0,0.1
-145.0,13.0,4.0,1.0,0.1
-145.0,18.0,4.0,0.0,0.1
-145.0,18.0,4.0,1.0,0.1
-145.0,23.0,4.0,0.0,0.1
-145.0,23.0,4.0,1.0,0.1
-145.0,28.0,4.0,0.0,0.1
-145.0,28.0,4.0,1.0,0.1
-145.0,33.0,4.0,0.0,0.1
-145.0,33.0,4.0,1.0,0.1
-145.0,38.0,4.0,0.0,0.1
-145.0,38.0,4.0,1.0,0.1
-145.0,43.0,4.0,0.0,0.1
-145.0,43.0,4.0,1.0,0.1
-140.0,-12.0,4.0,0.0,0.1
-140.0,-12.0,4.0,1.0,0.1
-140.0,-7.0,4.0,0.0,0.1
-140.0,-7.0,4.0,1.0,0.1
-140.0,-2.0,4.0,0.0,0.1
-140.0,-2.0,4.0,1.0,0.1
-140.0,3.0,4.0,0.0,0.1
-140.0,3.0,4.0,1.0,0.1
-140.0,8.0,4.0,0.0,0.1
-140.0,8.0,4.0,1.0,0.1
