Orientations,Spatial Frequencies,Temporal Frequencies,Contrasts
0.0,0.08,2.0,0.0
0.0,0.08,2.0,0.125
0.0,0.08,2.0,0.25
0.0,0.08,2.0,0.5
0.0,0.08,2.0,0.75
0.0,0.08,2.0,1.0
45.0,0.08,2.0,0.0
45.0,0.08,2.0,0.125
45.0,0.08,2.0,0.25
45.0,0.08,2.0,0.5
45.0,0.08,2.0,0.75
45.0,0.08,2.0,1.0
90.0,0.08,2.0,0.0
90.0,0.08,2.0,0.125
90.0,0.08,2.0,0.25
90.0,0.08,2.0,0.5
90.0,0.08,2.0,0.75
90.0,0.08,2.0,1.0
135.0,0.08,2.0,0.0
135.0,0.08,2.0,0.125
135.0,0.08,2.0,0.25
135.0,0.08,2.0,0.5
135.0,0.08,2.0,0.75
135.0,0.08,2.0,1.0
180.0,0.08,2.0,0.0
180.0,0.08,2.0,0.125
180.0,0.08,2.0,0.25
180.0,0.08,2.0,0.5
180.0,0.08,2.0,0.75
180.0,0.08,2.0,1.0
225.0,0.08,2.0,0.0
225.0,0.08,2.0,0.125
225.0,0.08,2.0,0.25
225.0,0.08,2.0,0.5
225.0,0.08,2.0,0.75
225.0,0.08,2.0,1.0
270.0,0.08,2.0,0.0
270.0,0.08,2.0,0.125
270.0,0.08,2.0,0.25
270.0,0.08,2.0,0.5
270.0,0.08,2.0,0.75
270.0,0.08,2.0,1.0
315.0,0.08,2.0,0.0
315.0,0.08,2.0,0.125
315.0,0.08,2.0,0.25
315.0,0.08,2.0,0.5
315.0,0.08,2.0,0.75
315.0,0.08,2.0,1.0
