Orientations,Spatial Frequencies,Temporal Frequencies,Contrasts
0.0,0.08,2.0,0.0
0.0,0.08,2.0,0.125
0.0,0.08,2.0,0.25
0.0,0.08,2.0,0.5
0.0,0.08,2.0,0.75
0.0,0.08,2.0,1.0
90.0,0.08,2.0,0.0
90.0,0.08,2.0,0.125
90.0,0.08,2.0,0.25
90.0,0.08,2.0,0.5
90.0,0.08,2.0,0.75
90.0,0.08,2.0,1.0
180.0,0.08,2.0,0.0
180.0,0.08,2.0,0.125
180.0,0.08,2.0,0.25
180.0,0.08,2.0,0.5
180.0,0.08,2.0,0.75
180.0,0.08,2.0,1.0
270.0,0.08,2.0,0.0
270.0,0.08,2.0,0.125
270.0,0.08,2.0,0.25
270.0,0.08,2.0,0.5
270.0,0.08,2.0,0.75
270.0,0.08,2.0,1.0
