X,Y,Diameter,White,Presentation Time
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.5,0.0,0.2
0.0,0.0,0.5,1.0,0.2
0.0,10.0,0.5,0.0,0.2
0.0,10.0,0.5,1.0,0.2
0.0,20.0,0.5,0.0,0.2
0.0,20.0,0.5,1.0,0.2
0.0,30.0,0.5,0.0,0.2
0.0,30.0,0.5,1.0,0.2
0.0,40.0,0.5,0.0,0.2
0.0,40.0,0.5,1.0,0.2
10.0,0.0,0.5,0.0,0.2
10.0,0.0,0.5,1.0,0.2
10.0,10.0,0.5,0.0,0.2
10.0,10.0,0.5,1.0,0.2
10.0,20.0,0.5,0.0,0.2
10.0,20.0,0.5,1.0,0.2
10.0,30.0,0.5,0.0,0.2
10.0,30.0,0.5,1.0,0.2
10.0,40.0,0.5,0.0,0.2
10.0,40.0,0.5,1.0,0.2
20.0,0.0,0.5,0.0,0.2
20.0,0.0,0.5,1.0,0.2
20.0,10.0,0.5,0.0,0.2
20.0,10.0,0.5,1.0,0.2
20.0,20.0,0.5,0.0,0.2
20.0,20.0,0.5,1.0,0.2
20.0,30.0,0.5,0.0,0.2
20.0,30.0,0.5,1.0,0.2
20.0,40.0,0.5,0.0,0.2
20.0,40.0,0.5,1.0,0.2
30.0,0.0,0.5,0.0,0.2
30.0,0.0,0.5,1.0,0.2
30.0,10.0,0.5,0.0,0.2
30.0,10.0,0.5,1.0,0.2
30.0,20.0,0.5,0.0,0.2
30.0,20.0,0.5,1.0,0.2
30.0,30.0,0.5,0.0,0.2
30.0,30.0,0.5,1.0,0.2
30.0,40.0,0.5,0.0,0.2
30.0,40.0,0.5,1.0,0.2
40.0,0.0,0.5,0.0,0.2
40.0,0.0,0.5,1.0,0.2
40.0,10.0,0.5,0.0,0.2
40.0,10.0,0.5,1.0,0.2
40.0,20.0,0.5,0.0,0.2
40.0,20.0,0.5,1.0,0.2
40.0,30.0,0.5,0.0,0.2
40.0,30.0,0.5,1.0,0.2
40.0,40.0,0.5,0.0,0.2
40.0,40.0,0.5,1.0,0.2
0.0,0.0,1.0,0.0,0.2
0.0,0.0,1.0,1.0,0.2
0.0,10.0,1.0,0.0,0.2
0.0,10.0,1.0,1.0,0.2
0.0,20.0,1.0,0.0,0.2
0.0,20.0,1.0,1.0,0.2
0.0,30.0,1.0,0.0,0.2
0.0,30.0,1.0,1.0,0.2
0.0,40.0,1.0,0.0,0.2
0.0,40.0,1.0,1.0,0.2
10.0,0.0,1.0,0.0,0.2
10.0,0.0,1.0,1.0,0.2
10.0,10.0,1.0,0.0,0.2
10.0,10.0,1.0,1.0,0.2
10.0,20.0,1.0,0.0,0.2
10.0,20.0,1.0,1.0,0.2
10.0,30.0,1.0,0.0,0.2
10.0,30.0,1.0,1.0,0.2
10.0,40.0,1.0,0.0,0.2
10.0,40.0,1.0,1.0,0.2
20.0,0.0,1.0,0.0,0.2
20.0,0.0,1.0,1.0,0.2
20.0,10.0,1.0,0.0,0.2
20.0,10.0,1.0,1.0,0.2
20.0,20.0,1.0,0.0,0.2
20.0,20.0,1.0,1.0,0.2
20.0,30.0,1.0,0.0,0.2
20.0,30.0,1.0,1.0,0.2
20.0,40.0,1.0,0.0,0.2
20.0,40.0,1.0,1.0,0.2
30.0,0.0,1.0,0.0,0.2
30.0,0.0,1.0,1.0,0.2
30.0,10.0,1.0,0.0,0.2
30.0,10.0,1.0,1.0,0.2
30.0,20.0,1.0,0.0,0.2
30.0,20.0,1.0,1.0,0.2
30.0,30.0,1.0,0.0,0.2
30.0,30.0,1.0,1.0,0.2
30.0,40.0,1.0,0.0,0.2
30.0,40.0,1.0,1.0,0.2
40.0,0.0,1.0,0.0,0.2
40.0,0.0,1.0,1.0,0.2
40.0,10.0,1.0,0.0,0.2
40.0,10.0,1.0,1.0,0.2
40.0,20.0,1.0,0.0,0.2
40.0,20.0,1.0,1.0,0.2
40.0,30.0,1.0,0.0,0.2
40.0,30.0,1.0,1.0,0.2
40.0,40.0,1.0,0.0,0.2
40.0,40.0,1.0,1.0,0.2
0.0,0.0,2.0,0.0,0.2
0.0,0.0,2.0,1.0,0.2
0.0,10.0,2.0,0.0,0.2
0.0,10.0,2.0,1.0,0.2
0.0,20.0,2.0,0.0,0.2
0.0,20.0,2.0,1.0,0.2
0.0,30.0,2.0,0.0,0.2
0.0,30.0,2.0,1.0,0.2
0.0,40.0,2.0,0.0,0.2
0.0,40.0,2.0,1.0,0.2
10.0,0.0,2.0,0.0,0.2
10.0,0.0,2.0,1.0,0.2
10.0,10.0,2.0,0.0,0.2
10.0,10.0,2.0,1.0,0.2
10.0,20.0,2.0,0.0,0.2
10.0,20.0,2.0,1.0,0.2
10.0,30.0,2.0,0.0,0.2
10.0,30.0,2.0,1.0,0.2
10.0,40.0,2.0,0.0,0.2
10.0,40.0,2.0,1.0,0.2
20.0,0.0,2.0,0.0,0.2
20.0,0.0,2.0,1.0,0.2
20.0,10.0,2.0,0.0,0.2
20.0,10.0,2.0,1.0,0.2
20.0,20.0,2.0,0.0,0.2
20.0,20.0,2.0,1.0,0.2
20.0,30.0,2.0,0.0,0.2
20.0,30.0,2.0,1.0,0.2
20.0,40.0,2.0,0.0,0.2
20.0,40.0,2.0,1.0,0.2
30.0,0.0,2.0,0.0,0.2
30.0,0.0,2.0,1.0,0.2
30.0,10.0,2.0,0.0,0.2
30.0,10.0,2.0,1.0,0.2
30.0,20.0,2.0,0.0,0.2
30.0,20.0,2.0,1.0,0.2
30.0,30.0,2.0,0.0,0.2
30.0,30.0,2.0,1.0,0.2
30.0,40.0,2.0,0.0,0.2
30.0,40.0,2.0,1.0,0.2
40.0,0.0,2.0,0.0,0.2
40.0,0.0,2.0,1.0,0.2
40.0,10.0,2.0,0.0,0.2
40.0,10.0,2.0,1.0,0.2
40.0,20.0,2.0,0.0,0.2
40.0,20.0,2.0,1.0,0.2
40.0,30.0,2.0,0.0,0.2
40.0,30.0,2.0,1.0,0.2
40.0,40.0,2.0,0.0,0.2
40.0,40.0,2.0,1.0,0.2
0.0,0.0,4.0,0.0,0.2
0.0,0.0,4.0,1.0,0.2
0.0,10.0,4.0,0.0,0.2
0.0,10.0,4.0,1.0,0.2
0.0,20.0,4.0,0.0,0.2
0.0,20.0,4.0,1.0,0.2
0.0,30.0,4.0,0.0,0.2
0.0,30.0,4.0,1.0,0.2
0.0,40.0,4.0,0.0,0.2
0.0,40.0,4.0,1.0,0.2
10.0,0.0,4.0,0.0,0.2
10.0,0.0,4.0,1.0,0.2
10.0,10.0,4.0,0.0,0.2
10.0,10.0,4.0,1.0,0.2
10.0,20.0,4.0,0.0,0.2
10.0,20.0,4.0,1.0,0.2
10.0,30.0,4.0,0.0,0.2
10.0,30.0,4.0,1.0,0.2
10.0,40.0,4.0,0.0,0.2
10.0,40.0,4.0,1.0,0.2
20.0,0.0,4.0,0.0,0.2
20.0,0.0,4.0,1.0,0.2
20.0,10.0,4.0,0.0,0.2
20.0,10.0,4.0,1.0,0.2
20.0,20.0,4.0,0.0,0.2
20.0,20.0,4.0,1.0,0.2
20.0,30.0,4.0,0.0,0.2
20.0,30.0,4.0,1.0,0.2
20.0,40.0,4.0,0.0,0.2
20.0,40.0,4.0,1.0,0.2
30.0,0.0,4.0,0.0,0.2
30.0,0.0,4.0,1.0,0.2
30.0,10.0,4.0,0.0,0.2
30.0,10.0,4.0,1.0,0.2
30.0,20.0,4.0,0.0,0.2
30.0,20.0,4.0,1.0,0.2
30.0,30.0,4.0,0.0,0.2
30.0,30.0,4.0,1.0,0.2
30.0,40.0,4.0,0.0,0.2
30.0,40.0,4.0,1.0,0.2
40.0,0.0,4.0,0.0,0.2
40.0,0.0,4.0,1.0,0.2
40.0,10.0,4.0,0.0,0.2
40.0,10.0,4.0,1.0,0.2
40.0,20.0,4.0,0.0,0.2
40.0,20.0,4.0,1.0,0.2
40.0,30.0,4.0,0.0,0.2
40.0,30.0,4.0,1.0,0.2
40.0,40.0,4.0,0.0,0.2
40.0,40.0,4.0,1.0,0.2
0.0,0.0,8.0,0.0,0.2
0.0,0.0,8.0,1.0,0.2
0.0,10.0,8.0,0.0,0.2
0.0,10.0,8.0,1.0,0.2
0.0,20.0,8.0,0.0,0.2
0.0,20.0,8.0,1.0,0.2
0.0,30.0,8.0,0.0,0.2
0.0,30.0,8.0,1.0,0.2
0.0,40.0,8.0,0.0,0.2
0.0,40.0,8.0,1.0,0.2
10.0,0.0,8.0,0.0,0.2
10.0,0.0,8.0,1.0,0.2
10.0,10.0,8.0,0.0,0.2
10.0,10.0,8.0,1.0,0.2
10.0,20.0,8.0,0.0,0.2
10.0,20.0,8.0,1.0,0.2
10.0,30.0,8.0,0.0,0.2
10.0,30.0,8.0,1.0,0.2
10.0,40.0,8.0,0.0,0.2
10.0,40.0,8.0,1.0,0.2
20.0,0.0,8.0,0.0,0.2
20.0,0.0,8.0,1.0,0.2
20.0,10.0,8.0,0.0,0.2
20.0,10.0,8.0,1.0,0.2
20.0,20.0,8.0,0.0,0.2
20.0,20.0,8.0,1.0,0.2
20.0,30.0,8.0,0.0,0.2
20.0,30.0,8.0,1.0,0.2
20.0,40.0,8.0,0.0,0.2
20.0,40.0,8.0,1.0,0.2
30.0,0.0,8.0,0.0,0.2
30.0,0.0,8.0,1.0,0.2
30.0,10.0,8.0,0.0,0.2
30.0,10.0,8.0,1.0,0.2
30.0,20.0,8.0,0.0,0.2
30.0,20.0,8.0,1.0,0.2
30.0,30.0,8.0,0.0,0.2
30.0,30.0,8.0,1.0,0.2
30.0,40.0,8.0,0.0,0.2
30.0,40.0,8.0,1.0,0.2
40.0,0.0,8.0,0.0,0.2
40.0,0.0,8.0,1.0,0.2
40.0,10.0,8.0,0.0,0.2
40.0,10.0,8.0,1.0,0.2
40.0,20.0,8.0,0.0,0.2
40.0,20.0,8.0,1.0,0.2
40.0,30.0,8.0,0.0,0.2
40.0,30.0,8.0,1.0,0.2
40.0,40.0,8.0,0.0,0.2
40.0,40.0,8.0,1.0,0.2
0.0,0.0,16.0,0.0,0.2
0.0,0.0,16.0,1.0,0.2
0.0,10.0,16.0,0.0,0.2
0.0,10.0,16.0,1.0,0.2
0.0,20.0,16.0,0.0,0.2
0.0,20.0,16.0,1.0,0.2
0.0,30.0,16.0,0.0,0.2
0.0,30.0,16.0,1.0,0.2
0.0,40.0,16.0,0.0,0.2
0.0,40.0,16.0,1.0,0.2
10.0,0.0,16.0,0.0,0.2
10.0,0.0,16.0,1.0,0.2
10.0,10.0,16.0,0.0,0.2
10.0,10.0,16.0,1.0,0.2
10.0,20.0,16.0,0.0,0.2
10.0,20.0,16.0,1.0,0.2
10.0,30.0,16.0,0.0,0.2
10.0,30.0,16.0,1.0,0.2
10.0,40.0,16.0,0.0,0.2
10.0,40.0,16.0,1.0,0.2
20.0,0.0,16.0,0.0,0.2
20.0,0.0,16.0,1.0,0.2
20.0,10.0,16.0,0.0,0.2
20.0,10.0,16.0,1.0,0.2
