Orientations,Spatial Frequencies,Temporal Frequencies,Contrasts
0.0,0.01,2.0,1.0
0.0,0.02,2.0,1.0
0.0,0.04,2.0,1.0
0.0,0.08,2.0,1.0
0.0,0.16,2.0,1.0
0.0,0.32,2.0,1.0
0.0,0.64,2.0,1.0
90.0,0.01,2.0,1.0
90.0,0.02,2.0,1.0
90.0,0.04,2.0,1.0
90.0,0.08,2.0,1.0
90.0,0.16,2.0,1.0
90.0,0.32,2.0,1.0
90.0,0.64,2.0,1.0
180.0,0.01,2.0,1.0
180.0,0.02,2.0,1.0
180.0,0.04,2.0,1.0
180.0,0.08,2.0,1.0
180.0,0.16,2.0,1.0
180.0,0.32,2.0,1.0
180.0,0.64,2.0,1.0
270.0,0.01,2.0,1.0
270.0,0.02,2.0,1.0
270.0,0.04,2.0,1.0
270.0,0.08,2.0,1.0
270.0,0.16,2.0,1.0
270.0,0.32,2.0,1.0
270.0,0.64,2.0,1.0
