X,Y,Diameter,White,Presentation Time
-130.0,15.0,0.5,0.0,0.1
-130.0,15.0,0.5,1.0,0.1
-130.0,20.0,0.5,0.0,0.1
-130.0,20.0,0.5,1.0,0.1
-130.0,25.0,0.5,0.0,0.1
-130.0,25.0,0.5,1.0,0.1
-130.0,30.0,0.5,0.0,0.1
-130.0,30.0,0.5,1.0,0.1
-130.0,35.0,0.5,0.0,0.1
-130.0,35.0,0.5,1.0,0.1
-125.0,15.0,0.5,0.0,0.1
-125.0,15.0,0.5,1.0,0.1
-125.0,20.0,0.5,0.0,0.1
-125.0,20.0,0.5,1.0,0.1
-125.0,25.0,0.5,0.0,0.1
-125.0,25.0,0.5,1.0,0.1
-125.0,30.0,0.5,0.0,0.1
-125.0,30.0,0.5,1.0,0.1
-125.0,35.0,0.5,0.0,0.1
-125.0,35.0,0.5,1.0,0.1
-120.0,15.0,0.5,0.0,0.1
-120.0,15.0,0.5,1.0,0.1
-120.0,20.0,0.5,0.0,0.1
-120.0,20.0,0.5,1.0,0.1
-120.0,25.0,0.5,0.0,0.1
-120.0,25.0,0.5,1.0,0.1
-120.0,30.0,0.5,0.0,0.1
-120.0,30.0,0.5,1.0,0.1
-120.0,35.0,0.5,0.0,0.1
-120.0,35.0,0.5,1.0,0.1
-115.0,15.0,0.5,0.0,0.1
-115.0,15.0,0.5,1.0,0.1
-115.0,20.0,0.5,0.0,0.1
-115.0,20.0,0.5,1.0,0.1
-115.0,25.0,0.5,0.0,0.1
-115.0,25.0,0.5,1.0,0.1
-115.0,30.0,0.5,0.0,0.1
-115.0,30.0,0.5,1.0,0.1
-115.0,35.0,0.5,0.0,0.1
-115.0,35.0,0.5,1.0,0.1
-110.0,15.0,0.5,0.0,0.1
-110.0,15.0,0.5,1.0,0.1
-110.0,20.0,0.5,0.0,0.1
-110.0,20.0,0.5,1.0,0.1
-110.0,25.0,0.5,0.0,0.1
-110.0,25.0,0.5,1.0,0.1
-110.0,30.0,0.5,0.0,0.1
-110.0,30.0,0.5,1.0,0.1
-110.0,35.0,0.5,0.0,0.1
-110.0,35.0,0.5,1.0,0.1
-105.0,15.0,0.5,0.0,0.1
-105.0,15.0,0.5,1.0,0.1
-105.0,20.0,0.5,0.0,0.1
-105.0,20.0,0.5,1.0,0.1
-105.0,25.0,0.5,0.0,0.1
-105.0,25.0,0.5,1.0,0.1
-105.0,30.0,0.5,0.0,0.1
-105.0,30.0,0.5,1.0,0.1
-105.0,35.0,0.5,0.0,0.1
-105.0,35.0,0.5,1.0,0.1
-100.0,15.0,0.5,0.0,0.1
-100.0,15.0,0.5,1.0,0.1
-100.0,20.0,0.5,0.0,0.1
-100.0,20.0,0.5,1.0,0.1
-100.0,25.0,0.5,0.0,0.1
-100.0,25.0,0.5,1.0,0.1
-100.0,30.0,0.5,0.0,0.1
-100.0,30.0,0.5,1.0,0.1
-100.0,35.0,0.5,0.0,0.1
-100.0,35.0,0.5,1.0,0.1
-130.0,15.0,1.0,0.0,0.1
-130.0,15.0,1.0,1.0,0.1
-130.0,20.0,1.0,0.0,0.1
