X,Y,Diameter,White,Presentation Time
-70.0,-14.0,0.5,0.0,0.1
-70.0,-14.0,0.5,1.0,0.1
-70.0,-9.0,0.5,0.0,0.1
-70.0,-9.0,0.5,1.0,0.1
-70.0,-4.0,0.5,0.0,0.1
-70.0,-4.0,0.5,1.0,0.1
-70.0,1.0,0.5,0.0,0.1
-70.0,1.0,0.5,1.0,0.1
-70.0,6.0,0.5,0.0,0.1
-70.0,6.0,0.5,1.0,0.1
-70.0,11.0,0.5,0.0,0.1
-70.0,11.0,0.5,1.0,0.1
-65.0,-14.0,0.5,0.0,0.1
-65.0,-14.0,0.5,1.0,0.1
-65.0,-9.0,0.5,0.0,0.1
-65.0,-9.0,0.5,1.0,0.1
-65.0,-4.0,0.5,0.0,0.1
-65.0,-4.0,0.5,1.0,0.1
-65.0,1.0,0.5,0.0,0.1
-65.0,1.0,0.5,1.0,0.1
-65.0,6.0,0.5,0.0,0.1
-65.0,6.0,0.5,1.0,0.1
-65.0,11.0,0.5,0.0,0.1
-65.0,11.0,0.5,1.0,0.1
-60.0,-14.0,0.5,0.0,0.1
-60.0,-14.0,0.5,1.0,0.1
-60.0,-9.0,0.5,0.0,0.1
-60.0,-9.0,0.5,1.0,0.1
-60.0,-4.0,0.5,0.0,0.1
-60.0,-4.0,0.5,1.0,0.1
-60.0,1.0,0.5,0.0,0.1
-60.0,1.0,0.5,1.0,0.1
-60.0,6.0,0.5,0.0,0.1
-60.0,6.0,0.5,1.0,0.1
-60.0,11.0,0.5,0.0,0.1
-60.0,11.0,0.5,1.0,0.1
-55.0,-14.0,0.5,0.0,0.1
-55.0,-14.0,0.5,1.0,0.1
-55.0,-9.0,0.5,0.0,0.1
-55.0,-9.0,0.5,1.0,0.1
-55.0,-4.0,0.5,0.0,0.1
-55.0,-4.0,0.5,1.0,0.1
-55.0,1.0,0.5,0.0,0.1
-55.0,1.0,0.5,1.0,0.1
-55.0,6.0,0.5,0.0,0.1
-55.0,6.0,0.5,1.0,0.1
-55.0,11.0,0.5,0.0,0.1
-55.0,11.0,0.5,1.0,0.1
-50.0,-14.0,0.5,0.0,0.1
-50.0,-14.0,0.5,1.0,0.1
-50.0,-9.0,0.5,0.0,0.1
-50.0,-9.0,0.5,1.0,0.1
-50.0,-4.0,0.5,0.0,0.1
-50.0,-4.0,0.5,1.0,0.1
-50.0,1.0,0.5,0.0,0.1
-50.0,1.0,0.5,1.0,0.1
-50.0,6.0,0.5,0.0,0.1
-50.0,6.0,0.5,1.0,0.1
-50.0,11.0,0.5,0.0,0.1
-50.0,11.0,0.5,1.0,0.1
-45.0,-14.0,0.5,0.0,0.1
-45.0,-14.0,0.5,1.0,0.1
-45.0,-9.0,0.5,0.0,0.1
-45.0,-9.0,0.5,1.0,0.1
-45.0,-4.0,0.5,0.0,0.1
-45.0,-4.0,0.5,1.0,0.1
-45.0,1.0,0.5,0.0,0.1
-45.0,1.0,0.5,1.0,0.1
-45.0,6.0,0.5,0.0,0.1
-45.0,6.0,0.5,1.0,0.1
-45.0,11.0,0.5,0.0,0.1
-45.0,11.0,0.5,1.0,0.1
-70.0,-14.0,1.0,0.0,0.1
-70.0,-14.0,1.0,1.0,0.1
-70.0,-9.0,1.0,0.0,0.1
-70.0,-9.0,1.0,1.0,0.1
-70.0,-4.0,1.0,0.0,0.1
-70.0,-4.0,1.0,1.0,0.1
-70.0,1.0,1.0,0.0,0.1
-70.0,1.0,1.0,1.0,0.1
-70.0,6.0,1.0,0.0,0.1
-70.0,6.0,1.0,1.0,0.1
-70.0,11.0,1.0,0.0,0.1
-70.0,11.0,1.0,1.0,0.1
-65.0,-14.0,1.0,0.0,0.1
-65.0,-14.0,1.0,1.0,0.1
-65.0,-9.0,1.0,0.0,0.1
-65.0,-9.0,1.0,1.0,0.1
-65.0,-4.0,1.0,0.0,0.1
-65.0,-4.0,1.0,1.0,0.1
-65.0,1.0,1.0,0.0,0.1
-65.0,1.0,1.0,1.0,0.1
-65.0,6.0,1.0,0.0,0.1
-65.0,6.0,1.0,1.0,0.1
-65.0,11.0,1.0,0.0,0.1
-65.0,11.0,1.0,1.0,0.1
-60.0,-14.0,1.0,0.0,0.1
-60.0,-14.0,1.0,1.0,0.1
-60.0,-9.0,1.0,0.0,0.1
-60.0,-9.0,1.0,1.0,0.1
-60.0,-4.0,1.0,0.0,0.1
-60.0,-4.0,1.0,1.0,0.1
-60.0,1.0,1.0,0.0,0.1
-60.0,1.0,1.0,1.0,0.1
-60.0,6.0,1.0,0.0,0.1
-60.0,6.0,1.0,1.0,0.1
-60.0,11.0,1.0,0.0,0.1
-60.0,11.0,1.0,1.0,0.1
-55.0,-14.0,1.0,0.0,0.1
-55.0,-14.0,1.0,1.0,0.1
-55.0,-9.0,1.0,0.0,0.1
-55.0,-9.0,1.0,1.0,0.1
-55.0,-4.0,1.0,0.0,0.1
-55.0,-4.0,1.0,1.0,0.1
-55.0,1.0,1.0,0.0,0.1
-55.0,1.0,1.0,1.0,0.1
-55.0,6.0,1.0,0.0,0.1
-55.0,6.0,1.0,1.0,0.1
-55.0,11.0,1.0,0.0,0.1
-55.0,11.0,1.0,1.0,0.1
-50.0,-14.0,1.0,0.0,0.1
-50.0,-14.0,1.0,1.0,0.1
-50.0,-9.0,1.0,0.0,0.1
-50.0,-9.0,1.0,1.0,0.1
-50.0,-4.0,1.0,0.0,0.1
-50.0,-4.0,1.0,1.0,0.1
-50.0,1.0,1.0,0.0,0.1
-50.0,1.0,1.0,1.0,0.1
-50.0,6.0,1.0,0.0,0.1
-50.0,6.0,1.0,1.0,0.1
-50.0,11.0,1.0,0.0,0.1
-50.0,11.0,1.0,1.0,0.1
-45.0,-14.0,1.0,0.0,0.1
-45.0,-14.0,1.0,1.0,0.1
-45.0,-9.0,1.0,0.0,0.1
-45.0,-9.0,1.0,1.0,0.1
