X,Y,Diameter,White,Presentation Time
-140.0,-7.0,0.5,0.0,0.1
-140.0,-7.0,0.5,1.0,0.1
-140.0,-2.0,0.5,0.0,0.1
-140.0,-2.0,0.5,1.0,0.1
-140.0,3.0,0.5,0.0,0.1
-140.0,3.0,0.5,1.0,0.1
-140.0,8.0,0.5,0.0,0.1
-140.0,8.0,0.5,1.0,0.1
-140.0,13.0,0.5,0.0,0.1
-140.0,13.0,0.5,1.0,0.1
-140.0,18.0,0.5,0.0,0.1
-140.0,18.0,0.5,1.0,0.1
-135.0,-7.0,0.5,0.0,0.1
-135.0,-7.0,0.5,1.0,0.1
-135.0,-2.0,0.5,0.0,0.1
-135.0,-2.0,0.5,1.0,0.1
-135.0,3.0,0.5,0.0,0.1
-135.0,3.0,0.5,1.0,0.1
-135.0,8.0,0.5,0.0,0.1
-135.0,8.0,0.5,1.0,0.1
-135.0,13.0,0.5,0.0,0.1
-135.0,13.0,0.5,1.0,0.1
-135.0,18.0,0.5,0.0,0.1
-135.0,18.0,0.5,1.0,0.1
-130.0,-7.0,0.5,0.0,0.1
-130.0,-7.0,0.5,1.0,0.1
-130.0,-2.0,0.5,0.0,0.1
-130.0,-2.0,0.5,1.0,0.1
-130.0,3.0,0.5,0.0,0.1
-130.0,3.0,0.5,1.0,0.1
-130.0,8.0,0.5,0.0,0.1
-130.0,8.0,0.5,1.0,0.1
-130.0,13.0,0.5,0.0,0.1
-130.0,13.0,0.5,1.0,0.1
-130.0,18.0,0.5,0.0,0.1
-130.0,18.0,0.5,1.0,0.1
-125.0,-7.0,0.5,0.0,0.1
-125.0,-7.0,0.5,1.0,0.1
-125.0,-2.0,0.5,0.0,0.1
-125.0,-2.0,0.5,1.0,0.1
-125.0,3.0,0.5,0.0,0.1
-125.0,3.0,0.5,1.0,0.1
-125.0,8.0,0.5,0.0,0.1
-125.0,8.0,0.5,1.0,0.1
-125.0,13.0,0.5,0.0,0.1
-125.0,13.0,0.5,1.0,0.1
-125.0,18.0,0.5,0.0,0.1
-125.0,18.0,0.5,1.0,0.1
-120.0,-7.0,0.5,0.0,0.1
-120.0,-7.0,0.5,1.0,0.1
-120.0,-2.0,0.5,0.0,0.1
-120.0,-2.0,0.5,1.0,0.1
-120.0,3.0,0.5,0.0,0.1
-120.0,3.0,0.5,1.0,0.1
-120.0,8.0,0.5,0.0,0.1
-120.0,8.0,0.5,1.0,0.1
-120.0,13.0,0.5,0.0,0.1
-120.0,13.0,0.5,1.0,0.1
-120.0,18.0,0.5,0.0,0.1
-120.0,18.0,0.5,1.0,0.1
-115.0,-7.0,0.5,0.0,0.1
-115.0,-7.0,0.5,1.0,0.1
-115.0,-2.0,0.5,0.0,0.1
-115.0,-2.0,0.5,1.0,0.1
-115.0,3.0,0.5,0.0,0.1
-115.0,3.0,0.5,1.0,0.1
-115.0,8.0,0.5,0.0,0.1
-115.0,8.0,0.5,1.0,0.1
-115.0,13.0,0.5,0.0,0.1
-115.0,13.0,0.5,1.0,0.1
-115.0,18.0,0.5,0.0,0.1
-115.0,18.0,0.5,1.0,0.1
-140.0,-7.0,1.0,0.0,0.1
-140.0,-7.0,1.0,1.0,0.1
-140.0,-2.0,1.0,0.0,0.1
-140.0,-2.0,1.0,1.0,0.1
-140.0,3.0,1.0,0.0,0.1
-140.0,3.0,1.0,1.0,0.1
-140.0,8.0,1.0,0.0,0.1
-140.0,8.0,1.0,1.0,0.1
-140.0,13.0,1.0,0.0,0.1
-140.0,13.0,1.0,1.0,0.1
-140.0,18.0,1.0,0.0,0.1
-140.0,18.0,1.0,1.0,0.1
-135.0,-7.0,1.0,0.0,0.1
-135.0,-7.0,1.0,1.0,0.1
-135.0,-2.0,1.0,0.0,0.1
-135.0,-2.0,1.0,1.0,0.1
-135.0,3.0,1.0,0.0,0.1
-135.0,3.0,1.0,1.0,0.1
-135.0,8.0,1.0,0.0,0.1
-135.0,8.0,1.0,1.0,0.1
-135.0,13.0,1.0,0.0,0.1
-135.0,13.0,1.0,1.0,0.1
-135.0,18.0,1.0,0.0,0.1
-135.0,18.0,1.0,1.0,0.1
-130.0,-7.0,1.0,0.0,0.1
-130.0,-7.0,1.0,1.0,0.1
-130.0,-2.0,1.0,0.0,0.1
-130.0,-2.0,1.0,1.0,0.1
-130.0,3.0,1.0,0.0,0.1
-130.0,3.0,1.0,1.0,0.1
-130.0,8.0,1.0,0.0,0.1
-130.0,8.0,1.0,1.0,0.1
-130.0,13.0,1.0,0.0,0.1
-130.0,13.0,1.0,1.0,0.1
-130.0,18.0,1.0,0.0,0.1
-130.0,18.0,1.0,1.0,0.1
-125.0,-7.0,1.0,0.0,0.1
-125.0,-7.0,1.0,1.0,0.1
-125.0,-2.0,1.0,0.0,0.1
-125.0,-2.0,1.0,1.0,0.1
-125.0,3.0,1.0,0.0,0.1
-125.0,3.0,1.0,1.0,0.1
-125.0,8.0,1.0,0.0,0.1
-125.0,8.0,1.0,1.0,0.1
-125.0,13.0,1.0,0.0,0.1
-125.0,13.0,1.0,1.0,0.1
-125.0,18.0,1.0,0.0,0.1
-125.0,18.0,1.0,1.0,0.1
-120.0,-7.0,1.0,0.0,0.1
-120.0,-7.0,1.0,1.0,0.1
-120.0,-2.0,1.0,0.0,0.1
-120.0,-2.0,1.0,1.0,0.1
-120.0,3.0,1.0,0.0,0.1
-120.0,3.0,1.0,1.0,0.1
-120.0,8.0,1.0,0.0,0.1
-120.0,8.0,1.0,1.0,0.1
-120.0,13.0,1.0,0.0,0.1
-120.0,13.0,1.0,1.0,0.1
-120.0,18.0,1.0,0.0,0.1
-120.0,18.0,1.0,1.0,0.1
-115.0,-7.0,1.0,0.0,0.1
-115.0,-7.0,1.0,1.0,0.1
-115.0,-2.0,1.0,0.0,0.1
-115.0,-2.0,1.0,1.0,0.1
-115.0,3.0,1.0,0.0,0.1
-115.0,3.0,1.0,1.0,0.1
-115.0,8.0,1.0,0.0,0.1
-115.0,8.0,1.0,1.0,0.1
-115.0,13.0,1.0,0.0,0.1
-115.0,13.0,1.0,1.0,0.1
-115.0,18.0,1.0,0.0,0.1
-115.0,18.0,1.0,1.0,0.1
-140.0,-7.0,2.0,0.0,0.1
-140.0,-7.0,2.0,1.0,0.1
-140.0,-2.0,2.0,0.0,0.1
-140.0,-2.0,2.0,1.0,0.1
-140.0,3.0,2.0,0.0,0.1
-140.0,3.0,2.0,1.0,0.1
-140.0,8.0,2.0,0.0,0.1
-140.0,8.0,2.0,1.0,0.1
-140.0,13.0,2.0,0.0,0.1
-140.0,13.0,2.0,1.0,0.1
-140.0,18.0,2.0,0.0,0.1
-140.0,18.0,2.0,1.0,0.1
-135.0,-7.0,2.0,0.0,0.1
-135.0,-7.0,2.0,1.0,0.1
-135.0,-2.0,2.0,0.0,0.1
-135.0,-2.0,2.0,1.0,0.1
-135.0,3.0,2.0,0.0,0.1
-135.0,3.0,2.0,1.0,0.1
-135.0,8.0,2.0,0.0,0.1
-135.0,8.0,2.0,1.0,0.1
-135.0,13.0,2.0,0.0,0.1
-135.0,13.0,2.0,1.0,0.1
-135.0,18.0,2.0,0.0,0.1
-135.0,18.0,2.0,1.0,0.1
-130.0,-7.0,2.0,0.0,0.1
-130.0,-7.0,2.0,1.0,0.1
-130.0,-2.0,2.0,0.0,0.1
-130.0,-2.0,2.0,1.0,0.1
-130.0,3.0,2.0,0.0,0.1
-130.0,3.0,2.0,1.0,0.1
-130.0,8.0,2.0,0.0,0.1
-130.0,8.0,2.0,1.0,0.1
-130.0,13.0,2.0,0.0,0.1
-130.0,13.0,2.0,1.0,0.1
-130.0,18.0,2.0,0.0,0.1
-130.0,18.0,2.0,1.0,0.1
-125.0,-7.0,2.0,0.0,0.1
-125.0,-7.0,2.0,1.0,0.1
-125.0,-2.0,2.0,0.0,0.1
-125.0,-2.0,2.0,1.0,0.1
-125.0,3.0,2.0,0.0,0.1
-125.0,3.0,2.0,1.0,0.1
-125.0,8.0,2.0,0.0,0.1
-125.0,8.0,2.0,1.0,0.1
-125.0,13.0,2.0,0.0,0.1
-125.0,13.0,2.0,1.0,0.1
-125.0,18.0,2.0,0.0,0.1
-125.0,18.0,2.0,1.0,0.1
-120.0,-7.0,2.0,0.0,0.1
-120.0,-7.0,2.0,1.0,0.1
-120.0,-2.0,2.0,0.0,0.1
-120.0,-2.0,2.0,1.0,0.1
-120.0,3.0,2.0,0.0,0.1
